genre,review,rating
comics_graphic,A terrific graphic novel of the origin of the Batman.,5
mystery_thriller_crime,My 16 year old son was given this book by a friend on his birthday.,3
fantasy_paranormal,"Thyra Winter is the Snow Queen, her powers gifted to her by Mael Voss. Her fate is bound to his task of assembling a magic mirror before she turns eighteen or else she'll become one of the disembodied wraiths that haunt her frozen castle. Thyra suppresses her emotions to deal with the oppressive nature of living with Voss and with the seeming impossibility of her task. The premise is interesting, but the focus veers away from all of that and delves into Thyra immediately trying to recruit a local yet somehow brilliant boy, Kai, to help her construct the mirror. This is a problem because Thyra's struggle with Voss and his old mentor, Sephia, could've made an interesting story if it would've been the focus. 
 Spoiler: it wasn't. Instead of this more interesting book, we get Thyra chasing a boy, Kai, and adopting a puppy, Luki. I ended up enjoying Luki as an animal companion, but the fact that the dog is the most interesting character in the story says something for how shallow the remaining characters are. Thyra's character veers into Frozen fanfic territory. No, really, it's Frozen fanfic. She uses the phrase 'Let it go' too many times for this to be a coincidence. This served to limit Thyra as a character for me, and she doesn't step beyond being a shadow of Elsa's (more vibrant and fleshed out) personality. 
 Full Review at Throw This Book at Me",2
comics_graphic,"I've been following the webcomic for years and it's done an amazing job of taking a metagaming funny webcomic (drawn using stick figures...) and making a ""serious"" work of it while keeping its funny tone. I look forward to every new comic and reading them in the book format, with the comment and a better flow as I do not have days (weeks) between panels, makes me appreciate them anew.",5
history_biography,"This novel is a beautiful companion book to Night. From a teenage girl's point of view, this true story focuses on aspects of the Holocaust that are not a part of Weisel's story such as the proposition of women for food and comfort and the death March. 
 I do not find the metaphoric images as striking as Night, so it will never be. replacement, but its story I obviously important. I do not understand why it is not more widely read.",4
young_adult,Review coming soon!,3
young_adult,"*4.5 stars* 
 I'm a big huge fan of the Across the Universe series, so I was pretty excited to get my hands on The Body Electric. Not to mention, the ebook was only $4.99!! It starts off a little slow but once the characters are developed, it picks up real quick. 
 There is a lot of unknown answers to Ella's life and once she meets Jack, she is even more confused. I loved going on the adventure with Ella and discover who she is and what happened to her Dad. Ella and Jack are just one complicated mess, obviously not their fault, slowly you get to find out the truth and it changes everything. There are plenty of surprises and lots of action. I only wished there was some more romance in there, that's the only reason why I didn't give it 5 stars. 
 I really could not put this down and enjoyed it very much! I love anything Beth Revis writes and will read anything she puts out there. Her creativity always blows my mind. I'm looking forward to the next book she writes.",4
young_adult,"See full review for Ensnared at: https://toomanybooksnotenoughshelves.... 
 Alyssa has lost everything that is important to her and has ended up in the last place that she ever wanted to be. She is stuck in the asylum that her mother was in, because her father has worried that it's her turn for the madness. Her mother is missing as is her boyfriend Jeb and that's not all. Morpheus - her childhood friend - is gone and the rabbit hole to Wonderland has imploded. She is locked out of the one place that she could really call home all because of Red's attack on prom that changed everything. But she won't stay down long, she will find a way into Wonderland and the AnyElsewhere and get back everything that she has lost. This time around though her human half won't hamper her, because she has finally caved to the madness and she is unstoppable.",5
comics_graphic,The Return of the Dinosaur Pop-up Book installment necessitates a five star review and that's as far as I got in the book before the authorities had to escort me out of the store for having too much fun with a book.,5
children,"Story: 3 stars 
 Illustrations: 4 stars 
 Penelope and Tiny from You're Wearing THAT to School?! are back. In this picture book, two friends with divergent personalities can't agree on a school talent show act, so they decide to perform separately. When the exuberant one encounters a mishap during her act, her shy friend readily jumps in to get her out of a jam. Illustrations add to the humor of the book. Useful performance tips included in the back of the book.",3
children,"This book was full of amazing characters that will teach students about heartache and friendship. I loved the strong characters of Raymie, Beverly & Louisiana. However, the side characters of Granny & Mrs. Borkowski stole many scenes! Granny kept me laughing out loud as she out ran from the law & ""concocted a plan"" for the Rancheros. 
 Yet, I don't think this DiCamillo will appeal to all readers. Parts of the book drag & don't always seem to connect and resolve. I think my savvy readers will enjoy the story & characters and create their own endings for them but my typical 5th grade readers may struggle to get through this limited plot novel. I felt like this book was a mirror at times to Winn Dixie & I found myself preferring Opal's adventures. I myself, really struggled to finish this book but I'm glad I did. Five stars for stellar characters, but only three for appeal, story & pacing.",4
young_adult,"Since I hate sitting here and thinking of how to accurately express myself in the right words that aren't there when I need them, this will be considerably short. 
 -Footnotes, how I hate you. Especially when I can't find the darn number so I scroll through looking for it. And once found, I read the footnote immediately (some of which can get pretty lengthy) then realize I have no recollection of what dear Ruby was raging about. So a restart for me it is. 
 -Either my friends and I don't get out that much or Ruby's list (the amount alone, sheesh) was blown to a bit on the extreme side. I don't really understand why you care so much about a guy who didn't care for you more than a half day, yet you think about him all the time! Why? Specially when there's much, MUCH better ones out there. So as Will Smith as Hitch did to Albert, I too, double slap your face. 
 -Cricket. It wasn't really something she did (although I can't honestly remember what she did or at least not anything worthy of mentioning) but more of her name. Cricket. And whenever I did see it appear, I shivered because I do not like crickets or any other insects (and spiders, but nowadays you're weird if you're not deathly afraid of spiders). I honestly can't imagine anyone, not even those celebrities (and there have been some pretty crazy ones), giving a name like Cricket to their kid. A kid who you just suffered through 9 months of pregnancy and you name your kid Cricket? 
 -Jackson. WHY DO YOU CARE ABOUT HIM SO MUCH? He wasn't even appealing in the way all the girls who read the book will dream about him for years to come. He wasn't even that great, nearly borderline hating. AND YOU STILL BELIEVED HE WAS THE BEST THING TO EVER COME TO YOUR LIFE? Argh. Open your eyes and see the amazingness that is Noel and forget about Jackson. Noel, who would have screwed up his perfect little reputation for your sake and yet you told him to fuck off. Why, why, why, oh why. 
 And that's a lot longer than I meant for it to be...oops.",3
children,"Keywords: playing fair, county fair, bikes, cowgirl/cowboy, good sportsmanship",3
mystery_thriller_crime,"By far one of my favorite books of all time. I haven't read this in a few years and I forgot how addictive and thrilling this book is. Keeps you guessing until the very end. Such an easy read and so well written, I can never put it down!!",5
comics_graphic,"Took a bit for me to get into this volume, but it was interesting seeing Coach's background and learning where his drive and ambition came from. His love for football, viewing it as the only thing worth living, is what led him down such a dark path. On the one hand, you feel a sort of sympathy and admiration for him. He was hated and bullied by the whole town, and only one person ever really gave a shit about him, but he still worked as hard as he could to get where he wanted. He just happened to change into someone Big didn't like.",3
comics_graphic,"It was fine. I've seen better from Brian Wood, though. The art was a lot of fun, but the plot was . . . not amazing? It was a quick, fun read before I had to leave for work this morning, but I probably won't think much about it again.",3
romance,"Cute read! 
 Loved that Trixie was a woman with curves 
 Asher was a misunderstood sweetheart 
 Trixie was quick to judge but once she lets down her guard explosions fly between the two. 
 Great chemistry on the passion side and on the love side between Asher and Trixie. 
 Super quick novella with good balance of angst, miscommunication, chemistry and love.",3
romance,Entirely too unbelievable.,2
comics_graphic,"Rebirth of Thanos (SS 34-38). This is a nice setup for Thanos' return to the Marvel Universe that has an appropriately cosmic feel and does a good job of reintroducing a few of the major players. It bounces between epic and humor, and I found that awkward on the first read, but after I returned to it a second time I enjoyed it more, except for the ever-annoying use of the Impossible Man in the middle issue [7/10]. 
 It's nice to have (40) as an add-on to the story, but it's largely a setup for 41-43 arc that's not included. 
 Thaons Quest (1-2). These two special events do a great job of highlighting the Elders (and the In-Betweener) and introducing the Infinity Gems and the art on them is exquisite. However the quest itself is somewhat plodding [6/10]. 
 Before the Gauntlet (SS 44-50). This is very obviously treading water prior to the Infinity Gauntlet itself (especially the weakest issue, #49). Still, it's filled with good material. Two different spotlights on the Silver Surfer's character are the best elements, with a trip inside the Soul Gem being almost as interesting (and the best setup for the IG). I was also impressed by the daringness of a full issue without the Surfer. Overall, an interesting batch of stories that's worth reading. [7/10]. 
 The Infinity Gauntlet (1-6). As a product of its time, the main event is very strong, offering both a stellar cosmic storyline and a fun look at the Marvel heroes of the '90s and the universe's cosmic entities. The reset button at the end is the main problem with the series, but pretty expected given what occurs. [8/10] 
 Tie-Ins. Finally, it's nice to have the numerous Tie-Ins to the Gauntlet all collected in one place. They really vary in quality. The most distant tie-ins, like the Cloak & Dagger are the worst, but in general the cosmic issues (Silver Surfer, Quasar) are quite good. The Doctor Strange and Hulk issues lie somewhere in between but have their high points, such as the final Doctor Strange issue, which is the perfect conclusion for the volume. The biggest trouble with some of these tie-ins is the lack of elapsed time between issues of the Gauntlet, which puts a few of them in weird null time zones. Still, they're an interesting view of the Gauntlet and of Marvel at the time [6+/10]. 
 Overall, a nicely put together omnibus with a very strong core.",4
poetry,lm y`jbny blmr@ !,1
mystery_thriller_crime,I absolutely LOVED this series ! I wished there was a book 4!,5
history_biography,4.5 stars. The disgusting descriptions of food made me queasy.,5
young_adult,"Some things were painfully obvious to me, but I find the world fascinating and the mysteries behind the magic equally fascinating. Meira grew on me as a character, and I'm excited to see where this story goes.",4
poetry,"This book was stunning and this can be verified by the fact that I read the last part of the book with difficulty because I was crying so hard. Summed up: beautiful, weird, lyrical, felt not understood.",5
children,"A historia podia estar mais trabalhada, mas como se avisa, foi uma historia escrita de um avo para o neto, sem ter como destino a publicacao per se. 
 De qualquer maneira, as ilustracoes sao soberbas.",4
comics_graphic,Being male is bad. Got it.,3
fantasy_paranormal,"So glad that I finish it!!!!!!!! 
 (As you can see, I start reading ACOTAR from the beginning of the year. It takes really long time for me to get back to end this book.) 
 And I'm so so excited that I finally meet Rhysand. 
 He is so so so cute, humorous, brave, and sexy. I like his violet eyes and the words that said to Feyre. As he appeared in the story, I started to put the sticky notes on the pages with Rhys. (Fangirl reaction. LOL) Yeah, really crazy I know! But I love him much more than Tamlin! Can't wait to see him in ACOMAF. 
 The reason I can't give ACOTAR 5 stars is that it's a little bit too slow at the beginning. 
 It's kinds of torture to get pass through those plots. But it's worthy to get patient to read till the end. The final part of the story is better than the start. So if you are struggling with the slow-pace beginning, just try not to give up on it. While Rhysand shows up, all things will be fun. XD 
 4.25 stars for my love, Rhys. a(tm)Y= 
 This is my favorite quote of all time. It touches my heart so deeply. 
 ""Because I didn't want you to fight alone. Or die alone.""",4
poetry,"When I was helping to clean out my mother-in-law's home after her death, I found this tiny volume printed in 1907. It was given as a graduation gift to someone in our family, but everyone is gone who could have told me. My husband had been watching a show about gold mining in Alaska; the show and the scenery intrigued me into reading the book. What a difficult time people had at the turn of the previous century in merely surviving in the wild Yukon, much less finding their fortune. Service's poetry gave a taste of Alaska in its wild days. 
 There are strange things done 'neath the midnight sun 
 By the men who moil for gold. 
 The arctic trails have their secret tales 
 That would make your blood run cold.",4
history_biography,"Taffy's life has been hard since the death of her mother. She's had to raise her siblings and protect them (and herself) from their drunk father. A chance meeting with a sea captain just might change everything. 
 The words used in this novel felt a little bit too modern for the time period. It definitely took me out of the story. Taffy herself seemed a little too perfect, even though she does use some four letter words. Also, there were some sex scenes, which were not graphic but still were distasteful to me. 
 Just not the book for me.",2
mystery_thriller_crime,"I think this is my least favorite Bohjalian book. Maybe I read too much of it in one sitting. But it goes into interminable detail about domestic violence from several characters' personal experiences and it became so repetitious I almost gave up on it. But I wanted to find out whodunnit, and for that reason alone, kept going. He keeps up the suspense, but I still can't recommend it. I give it a 2.5 on a 5 point scale.",3
poetry,"I liked that these poems were about relatable things. 
 Read for reading challenge: poetry",4
comics_graphic,"Visually ok with modern characters, I found I wasn't that interested in the characters as the ""gods"" felt like cardboard cut-outs and not fully-fleshed ones. Will not keep on reading.",2
young_adult,"3.5 stars. 
 I enjoyed this book. 
 This book centers around the persecution of Jewish people in 14th century Strasbourg, and I quickly learned this was a huge gaping hole in my knowledge. (This is why books are awesome.) For that alone, I'm very glad I read it. 
 I thought the book was well written, although the dialogue seemed out of place. I felt like I was reading something that had been translated too many times. From the dialogue alone, I would have had a really difficult time pinpointing the time period of the book. Perhaps that was just to make it more readable for a younger audience though. 
 I'm always a fan of romance and the supernatural, so I loved that there is a tiny bit of both. Neither, in my opinion, took anything away from the gravity of the plot. The again, when it comes to massacres and the black plague, I'm not sure much could. 
 I would recommend this book to anyone who enjoys historical fiction. 
 *I received a copy of this book in exchange for a fair and honest review.",3
poetry,"Curious, intricate poems. Lots of language play and the conjuring of myths. Rather enjoyed this one.",4
children,"Boston Monsters, A Search-and-Find Book by Carine Laforest, illustrated by Lucile Danis Drouot. Chouette Publishing. City Monsters. A cute and colorful monster seek-and-find picture book that is at once engaging and educational. Recommended for pre- or post-trip reading for young people. Thanks to NetGalley and Chouette Publishing for providing this ebook for review.",4
history_biography,Loved the book! I enjoy reading historical fiction and Sandra Byrd's books are amazing in their historical detail yet bring the period to life in its every day manifestations. I have always been fascinated by Henry the Eighth and this book brings to light Henry's personality in a more vivid way.,4
romance,"3.5 Stars 
 Review to come",3
comics_graphic,"This isn't a great Batman story, but a very good one. It creates an original story that recognizes the character's entire history, incorporating the iconic moments to elevate this narrative. Additionally, the graphic novel takes a rare step and focuses on Batman's vulnerability, fleshing out the character in ways few other story arcs have previously attempted.",3
mystery_thriller_crime,"The Truth is a fast-paced, engaging YA novel that explores the aftermath of gun violence from multiple perspectives. It also powerfully treats themes of family that many fathers and sons will recognize firsthand. Johnston's ear for natural dialogue serves him well; I could easily imagine this being adapted as a riveting stage play. Recommended for teen readers and their parents looking for characters and plots that reflect the morally ambiguous choices we must sometimes wrestle with.",4
poetry,"Sherrard and Keeley, incidentally, are the only ones who consistently translate Cavafy to my satisfaction.",4
history_biography,"This book was fun...and I enjoyed reading it. I found the ""History"" behind the stories interesting (like hiding broccoli in the mac and cheese).",4
children,Different than the movie. I actually enjoy the story of the movie more. Glad I finally read it.,4
comics_graphic,"The individual stories are great, alternate look at iconic legends of the 20th century, while the build toward a larger plot is subtle but clearly present. Beautifully written and illustrated. Island zero (#2) remains my favorite of the series.",5
children,"I love the Hetty Feather books, and this is an excellent continuation of the series. Hetty goes on a new adventure, which takes her to meet new and different people, but she also deals with the more challenging aspects of her life and her struggles with being part of the working class.",5
young_adult,Didn't end like I wanted it to....but it really couldn't.,4
comics_graphic,"Though I was the rare reader who liked most of Fraction's run, I was let down by this final standalone volume. Battling dreams creating by dream creatures is almost never interesting because of the innate pointlessness of it. Then, there's the Blake plot. It started off interesting, and in the end it destroyed everything that had come before. 
 So part of this volume was dull and part left a bad taste in my mouth.",2
history_biography,"The style of writing didn't appeal to me at all on this one, to the degree that I was contemplating abandoning the book which is something I rarely do. 
 I persevered though and the story itself I found compelling and thought provoking, though this was likely due more to the factual setting and plight of the persecuted than the style of writing. The style I found quite abrupt and acted as a barrier for my enjoyment of the book as a whole and prevented my fully investing in the main protagonists. A 2.5 star would be a fairer reflection of my thoughts on the book than a 2 but all in all it felt like it could have delivered so much more.",2
children,"Text: 3 stars 
 Illustrations: 3 stars 
 Fun story told in rhyme, but not the strongest alphabet book, mainly because the words for each letter do not stand out in any way from the rest of the text in the quatrain on each page. The illustrations don't help identify the words either, because they depict the story rather than the alphabet words. This is an example of the story competing with learning the alphabet, rather than complementing that purpose. But there are some card-stock pages in the back of the book with perforated flash cards on them; the letters are on one side and the alphabet words from the book are on the other. These could be useful if you own your copy of the book (but not if you borrowed it from the library, because you have to detach those pages from the book).",3
fantasy_paranormal,"Fun, interesting, and easy to read! Drew me in!",4
history_biography,"What happens when primal therapy turns to conversion therapy? A socially important autobiography by a gay man who is ostracized by his family and turns to the only help he can get--a charming, disarming Canadian psychiatrist who seems to be the author's only salvation. The doctor's unconventional 'cures' become more demanding, harsh and inhumane in the cult-like setting and the author is continually subjected to egregious treatment by this off-center psychiatrist who so heavily medicates him that he almost dies. And yet this is an amazing story of a brave man speaking out, his liberation, his resilience, his return to self love and acceptance--and the gradual growth to family healing.",5
children,"foi uns dos primeiros livros que eu li e que consequentemente , me fez gostar de ler... saudades...",5
fantasy_paranormal,Love this book...and I loved listening to it on the audiobook...though it did feel like cheating...lol,5
comics_graphic,"UPDATE: I knew this seemed familiar! Turns out I was wrong the first time. I do wish it wasn't as slow burn as it was, though. But enjoyable nonetheless! 
 ------------------ 
 2 STARS 
 meh 
 i'm not continuing this one",2
mystery_thriller_crime,I like the Odd Thomas series. The storyline was good. The villain nuts. The only thing I struggle with is Dean Koontz need to be extremely descriptive. He always lose me when he goes on and on describing different places and things. It's excessive and it makes the story drag.,4
poetry,"Wow such a vivid and powerful collection of poems from the First World War. My ultimate favorites were The Next War, Disabled and The Parable of the Old Man and the Young.",4
young_adult,"I'm so glad that I finish it. It takes me really long long time to get into the story. ( Almost a-year long. ) 
 The moment as I'd done with I nearly smile with the joyful tears. This book is freaking awesome. So glad I deal with my reading problem, making myself love this amazing book. Also, some plots move me. I can still feel my heart is touched by those words. 
 Can't wait to grab Gemina ASAP!!!!!!",5
poetry,"Me parece que el hecho de que sea una obra de Morrison me hizo tener una expectativa muy alta, pero realmente no me hizo sentir nada. Creo que la poesia es un tema demasiado delicado para mi y suelo pensar en darle una segunda oportunidad a lo que leo y siento que probablemente no me gusto por mi culpa, pero nah, no creo que esto lo valga. Lo siento, de todas maneras intentare leer mas de Jim para quitarme esta mala imagen que me ha quedado de su trabajo como poeta.",1
children,This is a wonderful story which I read in a text book when I was six years old and until this moment I still talk about it as if I've just read it yesterday. I love the story of the monkey and the turtle. It's a book I'll recommend for anyone to read it's not only fun and entertaining it also teach the lesson of how important it is to share and not to become to greedy.,5
mystery_thriller_crime,"Surprisingly good for an Amazon freebie download. A bit too graphic at times, but it kept me hooked right up to the end.",4
poetry,Una joya literaria,5
fantasy_paranormal,"cute alternate-steampunk-London era novel. Romance, paranormal, historical, surprisingly involving, no-nonsense heroine. Keep an eye on this..",4
mystery_thriller_crime,"I was pleasantly surprised with Dig Two Graves. It was a little slow to start for me, but I am glad I stuck with it because I ended up not wanting to put the book down. Ethan is a professor at a prestigious college where he teaches the classics. He is a single father to a 13 YO daughter, Skip. He is also a former Olympic medal winner. His life is turned around when his daughter is kidnapped. 
 This will be a hard one to review because I don't want to give away any key plot points. I can say that what I really enjoyed about this book is that it kept me guessing. I enjoyed the ""trials"" that Ethan was made to go through by the kidnapper. Each trial that he succeeds at brings him closer to his daughter, but makes him lose something of himself in return. The 12 trials of Hercules was a unique idea. There are a couple of twists that were surprising. But the reveal at the end was a big shock to me. I think this book would make a pretty cool movie. 
 I highly recommend this one, especially to readers who love thrillers filled with rhymes and puzzles. I look forward to seeing what this author comes up with next!",4
mystery_thriller_crime,"!Sin spoilers! 
 Lo primero de todo, quiero felicitar a B.A. Paris por este maravilloso estreno. !!Enhorabuena!! 
 Esta novela me ha tenido con el corazon en un puno del principio al final. Diria que lo lei de una sentada, textualmente, y me dieron las cinco de la madrugada hasta que lo acabe pues no lo podia soltar. 
 La historia esta narrada por Grace, la protagonista, casada con Jack hace 18 meses; y va saltando entre el pasado y el presente a lo largo de toda la narracion lo cual la hace sencilla de seguir y ayuda a mantener la tension durante todo el desarrollo. 
 Grace era una exitosa mujer de negocios antes de casarse y tenia a su cargo a su hermana Millie, con Sindrome de Down e interna en un colegio. Jack es un atractivo y exitoso abogado, defensor de mujeres maltratadas, que no conoce el fracaso. Son, sin duda, para sus vecinos y amigos, la pareja perfecta, pero... ?que sucede al cerrar la puerta? 
 Ya desde el principio notamos que algo no funciona. Grace esta nerviosa, muy nerviosa y la explicacion y el encaje de piezas nos llegara poco a poco, hasta dejarnos sin aliento. 
 No quiero contar mucho mas de la trama porque entraria en spoilers. Solo decir que me ha gustado el principio, me ha gustado el final y el medio; me ha dejado expectante, colgada de cada pagina, esperando girar la pagina siguiente. 
 100% recomendable a amantes de thrillers psicologicos. Este libro pasa directamente a mi estanteria de Favoritos y enciendo la velita del deseo que este ano me traiga muchos muchos mas libros como este; libros a leer de una sentada :D",5
history_biography,Interesting story about a young girl growing up to learn the challenges of the husband/wife relationship in the 1800s while also balancing the issues of running her own life as an independent business partner. By duping an American business man during her unconventional education into male/female relationships she starts herself on a path which will impact the rest of her life.,3
young_adult,"I was hooked from the beginning, my curiosity carried me and I'm glad it did. Elyse is such a force to be reckoned with, and becoming mute doesn't mean you've lost your voice, your true voice. You can still make others listen to you, even if it takes extra effort. Sebastian is definitely my favorite character of the book, he is so unique and quirky, so sure of what he wants and who he is that when people judged him or refused to accept him because he didn't embody the conventional idea of how a little boy should be or what he should like, it broke my heart to feel his sadness seeping through the pages. 
 The character development of both Elyse and Christian was extremely important due to the unfolding of the events in the book, all the characters are well-rounded and unique. I was impressed with how Ockler took such a beloved fairytale and turned it into this well-written and captivating story, making it contemporary but still magical to read. I highly recommend this book, both because of the story and the characters.",5
history_biography,"""I liked it"" - but it needed editing. An editor carefully cutting out about a 1/4 of the book (mainly: redundancies) might have raised this up to a 4 or 5. 
 It also sorta ends ten years ago (although the interviews are recent) - giving us not much a feeling for what Doc Watson recently, and Doc does still do some shows outside of Merlefest. However this might not be the author's fault, as Doc has become more private (as mentioned). 
 I confess that I'm also lot more sympathetic to Ralph Rinzler's way of getting Doc in the music business (as a trad performer) than the author is. The author also probably tells more of Merle's problems that the family would have liked him too. 
 On the other hand, ""I liked it"" - he did a lot of research and interviews, and the book tells the life story of Doc Watson. It gives a good feeling about what other musicians think of Doc and his influence on musicians. If I could give half stars, I'd give it 3 1/2.",3
history_biography,"A compelling narrative to start with. Entertaining account of partition through the eyes of Nehru, Mountbattens, Gandhi and Jinnah. Patel too if you can add a bit more. Divided into four parts, this book is a first class account from deconstruction of every character to their views(also the controversial ones)and eventually the partition. To be precise this is right from Earl Mountbatten's appointment as Viceroy to his death. Do read.",4
children,"I love this book at nighttime. 
 It basically goes over a bedtime routine. This book has bright pictures and a good flow. 
 It's cute and cuddly and great for the youngsters.",4
young_adult,I thought that the story was enjoyable. I liked the main character and I am interested to see where they will go and who will be close to one another in the end.,4
