book_id,annotator1,annotator2,annotator3
8909152,5,4,5
8909152,5,4,5
16143347,4,4,5
16143347,4,4,5
16143347,4,4,5
18007564,4,4,3
18007564,4,4,3
18007564,4,4,3
11614718,5,3,5
11614718,5,3,5
11614718,5,3,5
15839984,2,1,4
15839984,2,1,4
15839984,2,1,4
25853351,2,2,4
25853351,2,2,4
25853351,2,2,4
13262783,5,4,5
13262783,5,4,5
13262783,5,4,5
96259,4,4,5
96259,4,4,5
96259,4,4,5
15739018,3,4,5
15739018,3,4,5
15739018,3,4,5
